input_text,target_text,input_emotion,target_emotion
neutral to neutral: The review outlines the tariffs ' impact on domestic steel industry and steel consumers halfway through the three-year program .,The ITC midpoint review of the tariffs outlines their impact so far on the domestic steel industry and steel consumers .,neutral,neutral
"neutral to neutral: PC-related products were the strongest sector in July , with microprocessors up 5.6 % and DRAMs up 8.2 % from June , the industry group said .","PC-related products were the strongest sellers , with microprocessors up 5.6 percent and DRAMs up 8.2 percent , the SIA said .",neutral,neutral
"neutral to neutral: The Prime Ministers of China , Russia and four central Asian nations have met in Beijing and approved a budget for their regional security grouping .","The prime ministers of China , Russia and four Central Asian countries signed agreements on Tuesday that set plans in motion for a long-awaited regional anti-terrorism centre in Uzbekistan .",neutral,neutral
neutral to neutral: The two Democrats on the five-member FCC held a press conference to sway opinion against Powell and the two other Republicans on the panel .,The two Democrats on the five-member FCC panel held a news conference to sway opinion against Powell .,neutral,neutral
neutral to neutral: The OneNote note-taking tool is listed at £ 169.99 while the InfoPath XML ( Extensible Markup Language ) data gathering application is priced at £ 179.99 .,The OneNote note-taking tool is listed at $ 273 while the InfoPath XML data gathering application is priced at $ 289 .,neutral,neutral
"neutral to neutral: The current plan is to release the videotapes of the sessions , after U.S. review , on Friday , said Jim Landale , a spokesman for the tribunal .","The current plan is to release videotapes of the sessions on Friday , after the review , said Jim Landale , a tribunal spokesman .",neutral,neutral
"neutral to neutral: Senate passage of the Medicare bill was almost certain , possibly as early as today .",Senate passage of the Medicare bill is almost certain Monday .,neutral,neutral
"neutral to neutral: Five foreign embassies , including the Singapore embassy , in Bangkok were among the targets , it said .","Five foreign embassies in Bangkok , including the Singapore embassy , were among those targeted .",neutral,neutral
"neutral to neutral: Spot gold was quoted at $ 367.90 / 368.60 an ounce at 1000 GMT , having marched up to $ 369.50 -- a level not seen since February 10 .","Spot gold was quoted at $ 358.65 / 359.15 an ounce at 0500 GMT , having darted as high as $ 359.25 -- a level not seen since February 25 .",neutral,neutral
neutral to neutral: Scientists have reported a 90 percent decline in large predatory fish in the world 's oceans since a half century ago .,"Scientists reported a 90 percent decline in large predatory fish in the world 's oceans since a half-century ago , a dire assessment that drew immediate skepticism from commercial fishers .",neutral,neutral
neutral to neutral: Congress twice before passed similar restrictions only to see President Bill Clinton veto them .,"Congress twice passed similar bills , but then-President Clinton vetoed them both times .",neutral,neutral
"neutral to neutral: "" He said they were in distress , "" said Kingsville Police Chief Sam Granato .","We 're asphyxiating , ' ' ' said Sam Granato , chief of the Kingsville police .",neutral,neutral
"optimism to neutral: The chief merchandising officer decides what the store is going to sell , giving it a signature to attract shoppers and hopefully lure them back .","The chief merchandising officer decides what the store is going to sell , giving it that signature that draws in shoppers and brings them back again and again .",optimism,neutral
neutral to neutral: A representative for Phoenix-based U-Haul declined to comment on the case before the judge 's opinion was released .,"Anthony Citrano , a representative for WhenU , declined to comment on the case .",neutral,neutral
"neutral to neutral: He has also directed "" The Flintstones , "" "" Beethoven , "" and "" Jingle All The Way . ""","Levant 's other credits include "" The Flintstones , "" "" Jingle All the Way "" and "" Beethoven . """,neutral,neutral
neutral to neutral: The FTC also asked the judge to suspend his ruling pending its appeal .,The FTC asked the court Wednesday to block the ruling and filed for an appeal .,neutral,neutral
"neutral to neutral: Gerry Kiely , a EU agriculture representative in Washington , said EU ministers were invited but canceled because the union is closing talks on agricultural reform .",The EU 's agriculture representative in Washington said EU ministers were invited but canceled because the union is wrapping up talks on agricultural reform .,neutral,neutral
neutral to neutral: The Institute for Supply Management said its index of non-manufacturing activity rose to 50.7 from 47.9 in March .,"The Institute for Supply Management said its index of non-manufacturing activity rose to 50.7 , bouncing back from a one-month contraction in March at 47.9 .",neutral,neutral
"neutral to neutral: It will also boost SuSE 's sales reach worldwide and enhance HP 's Linux business , they said .","The deal also boosts SuSE 's sales reach worldwide and enhances HP 's Linux business , they said .",neutral,neutral
"neutral to neutral: Of personal vehicles , 57 percent are cars or station wagons , 21 percent vans or SUVs , 19 percent light trucks .","Of all personal vehicles , 57 percent are cars or station wagons , 21 percent are vans or sport utility vehicles and 19 percent are light trucks .",neutral,neutral
"neutral to neutral: Network security products maker Secure Computing Inc. said Tuesday it is acquiring content-filtering vendor N2H2 for $ 20 million , furthering consolidation in an already-competitive market .","Network security products maker Secure Computing said Tuesday it is acquiring content filtering firm N2H2 for $ 20 million , furthering consolidation in an already competitive market .",neutral,neutral
neutral to neutral: The hall will be home to the Los Angeles Philharmonic and the LA Master Chorale .,The Los Angeles Master Chorale and the Los Angeles Philharmonic Brass Ensemble also performed .,neutral,neutral
"neutral to neutral: The state wants to lower wolf numbers in approximately a 1,700-square-mile area near the village of McGrath .","The state wants to kill the wolves in approximately a 1,700-square-mile area near McGrath to establish a moose nursery of sorts .",neutral,neutral
neutral to neutral: Pressure also came last night from religious circles as three Anglican bishops said it was time for their former colleague to step down .,The pressure on Peter Hollingworth to resign as Governor-General intensified last night as three Anglican bishops said it was time for their former colleague to step down .,neutral,neutral
"neutral to neutral: The technology-laced Nasdaq Composite Index < .IXIC > added 8.27 points , or 0.51 percent , to 1,633.53 .","The broader Standard & Poor 's 500 Index .SPX crept up 4.3 points , or 0.44 percent , to 980.52 .",neutral,neutral
neutral to neutral: A spokesman for the U.S. Attorney 's Office in Atlanta also refused to comment .,Coca-Cola announced Friday morning that the U.S. Attorney 's office in Atlanta has started an inquiry .,neutral,neutral
"neutral to neutral: Currently , about 37,000 U.S. troops are stationed in South Korea .","There are 100,000 U.S. troops in Asia , most of them in South Korea and Japan .",neutral,neutral
"neutral to neutral: Mosel was unable to present financial statements in time due to mergers among subsidiaries and a change of accountants , the company said on Monday .","Mosel had been unable to present financial statements in time because of mergers among subsidiaries and a change of accountants , the company said yesterday .",neutral,neutral
neutral to neutral: A navy official on the scene said divers were scanning the river bed with metal finders before rain drove them to shore .,A navy official said divers scanned the river bed with metal detectors before rain drove them to shore .,neutral,neutral
"neutral to neutral: "" The Matrix Reloaded , "" which opened in limited previews Wednesday night , took in an estimated $ 135.8 million for all five days .","Matrix Reloaded opened in limited previews Wednesday night , and its total for all five days was estimated at $ 135.8 million .",neutral,neutral
"neutral to neutral: They said no decisions had been made about how many troops would be moved , where they would come from , or where they would end up .","They added that decisions have been made about how many troops will be moved , where they will come from , or where they will end up .",neutral,neutral
"neutral to neutral: "" The bank requires growth from elsewhere in the economy and needs the economy to rebalance , "" he said in an interview with the Press Association news agency .","The Bank of England "" requires growth from elsewhere in the economy and needs the economy to rebalance , "" he told the Press Association news agency .",neutral,neutral
"neutral to neutral: Cisco has signed similar deals with AT & T Corp. T.N , SBC Communications Inc . SBC.N and Sprint Corp. FON.N .","Cisco has similar relationships with BellSouth competitors SBC Communications , AT & T and Sprint Communications .",neutral,neutral
"neutral to neutral: Today , we preserve essential tools to foster voice competition in the local market .",""" We preserve essential tools to foster voice competition , "" Copps said .",neutral,neutral
"neutral to neutral: "" I have heard the people of New York say , ' Enough is enough , ' "" Pataki said . """,""" I have every reason to believe that people understand enough is enough , "" Mr. Pataki said .",neutral,neutral
neutral to neutral: The government says the changes are necessary if Israel is to compete successfully in the global marketplace and attract investment .,"However , the Israeli government argues that changes in Israel ’ s state-controlled economy are necessary if the state is to compete in the global marketplace .",neutral,neutral
"neutral to neutral: SARS , the deadly respiratory disease first detected in China last November , gave the agency its first real test of a new state-of-the-art emergency operations center .","And SARS , the deadly respiratory disease first detected in China last November , tested the agency 's new state-of-the-art emergency operations center .",neutral,neutral
"neutral to neutral: In Toronto , police said they arrested 38 people and reported 114 incidents , mostly for looting and other thefts .","Toronto police made 38 arrests linked to the blackout and reported 114 incidents , mostly for looting and other thefts , said Constable Mike Hayles .",neutral,neutral
neutral to neutral: The Senate 's proposal will need the support of the Democrat-led Assembly and Pataki to become law .,"Even if the Senate approves the proposals , they would require the support of the Democrat-led Assembly and Gov. George Pataki to become law .",neutral,neutral
"neutral to neutral: French special police raided a farm in Corsica on Friday , capturing the top suspect in the 1998 murder of France 's highest official on the Mediterranean island , officials said .","Police arrested on Friday the chief suspect in the murder of the top state official on the unruly French island of Corsica , Interior Minister Nicolas Sarkozy said .",neutral,neutral
"neutral to neutral: Tom Kasmer , a 14-year-old from Belmont , N.C. , got a word that sounded like "" zistee "" during yesterday 's competition .","The 14-year-old national spelling finalist who attends school in Belmont , N.C. , got a word that sounded like "" zistee "" during competition Wednesday .",neutral,neutral
"neutral to neutral: The blue-chip Dow Jones industrial average .DJI fell 86.56 points , or 0.94 percent , to 9,109.99 , after giving up more than 1 percent earlier .","The Dow Jones industrial average .DJI fell 79.43 points , or 0.86 percent , to 9,117.12 on Friday .",neutral,neutral
neutral to neutral: General Wesley Clark finally confirmed this week that he would seek the Democratic nomination to run against President George Bush in next year 's presidential elections .,Retired General Wesley Clark 's entry into the race for the Democratic presidential nomination will almost certainly strengthen anti-war forces determined to unseat US President George W Bush next year .,neutral,neutral
neutral to neutral: China would become only the third nation to put a human in space .,China would become the third nation to achieve manned spaceflight .,neutral,neutral
"neutral to neutral: Privately-held GeCAD Software , founded in 1992 , has supplied antivirus and security products since 1994 under the name RAV AntiVirus .","GeCAD , founded in 1992 and based in Bucharest , provides anti-virus , anti-spam and content-filtering products under the name RAV AntiVirus .",neutral,neutral
"neutral to neutral: Lee Janzen , who was tied atop the leaderboard with five holes left , finished with a 68 and tied for sixth .","Lee Janzen , tied atop the leaderboard with five holes left , finished with a 68 to tie for sixth with Bob Crane ( 67 ) at 269 .",neutral,neutral
neutral to neutral: Less than 20 percent of Boise 's sales would come from making lumber and paper after the OfficeMax purchase is completed .,"Less than 20 percent of Boise 's sales would come from making lumber and paper after the OfficeMax purchase is complete , assuming those businesses aren 't sold .",neutral,neutral
"neutral to neutral: But they are split over whether the Fed will acknowledge risks are tilted toward weakness , or say they are balanced .",Wall Street is debating whether the central bank will say risks are tilted toward weakness or balanced with inflation .,neutral,neutral
"neutral to neutral: Yehuda Abraham , a 76-year-old jeweler in New York 's diamond district , allegedly accepted a $ 30,000 down payment on behalf of Lakhani for the missiles , the government said .","Yehuda Abraham , a 76-year-old jeweler from New York 's diamond district , accepted a $ 30,000 down payment on behalf of Lakhani for the first missile , investigators said .",neutral,neutral
"neutral to neutral: The San Jose-based company posted a net income of $ 64.2 million , or 27 cents per share , in the quarter ended May 30 .","That was up from the year-ago quarter , when the company earned $ 54.3 million , or 22 cents a share .",neutral,neutral
neutral to neutral: A judge ordered the child placed in state custody Aug. 8 .,"On Aug. 8 , Juvenile Court Judge Robert Yeates ordered that Parker be placed in protective custody .",neutral,neutral
gratitude to gratitude: She met Lady Mary at her Double Bay home yesterday to thank her for the donation .,She met Lady Mary for the first time at her Double Bay home in Sydney yesterday to thank her in person for the donation .,gratitude,gratitude
"neutral to neutral: The service also features a "" self-healing "" option that can provide continuous access to critical applications .","It also offers a "" self-healing "" option so businesses have continuous access to critical servers , data and applications .",neutral,neutral
"neutral to neutral: Consolidated volume was heavy , with 2.17 billion shares traded , compared with 1.92 billion on Tuesday .","Consolidated volume was moderate , with 1.91 billion shares traded on the New York Stock Exchange , compared to 1.5 billion Monday .",neutral,neutral
"neutral to neutral: Shares of Smithfield closed up $ 1.64 , or 8.5 percent , at $ 20.85 , on the New York Stock Exchange .","Shares of Smithfield rose $ 1.64 yesterday to close at $ 20.85 , a rise of 8.5 per cent , on the New York Stock Exchange .",neutral,neutral
"neutral to neutral: Upscale department store chain Nordstrom Inc . ( nyse : JWN - news - people ) jumped $ 1.49 , or 9.4 percent , to $ 17.35 .","Upscale department store chain Nordstrom Inc . JWN.N jumped $ 1.49 , or 9.4 percent , to $ 17.35 .",neutral,neutral
"neutral to neutral: Turki Nasser al-Dandani , another key Saudi operator for Al Qaeda and a second main suspect in the Riyadh bombings remains at large .","Turki Nasser al-Dandani , another suspected Saudi operative for Osama bin Laden 's al-Qaida terror network and top suspect in the Riyadh bombings , remains at large .",neutral,neutral
"neutral to neutral: "" There were a number of bureaucratic and administrative missed signals -- there 's not one person who 's responsible here , "" Gehman said .","In turning down the NIMA offer , Gehman said , ' ' there were a number of bureaucratic and administrative missed signals here .",neutral,neutral
"neutral to neutral: H. Carl McCall , co-chairman of the exchange 's special committee on governance , resigned Thursday , saying Reed should start with a "" clean slate . ""","Reed arrived a day after H. Carl McCall , co-chairman of the exchange 's special committee on governance , resigned saying Reed should have a "" clean slate "" to make changes .",neutral,neutral
neutral to neutral: The department also sent water and soil samples to the state health laboratory .,Water samples are being sent to the state health department for analysis .,neutral,neutral
neutral to neutral: A power cut in New York in 1977 left 9 million people without electricity for up to 25 hours .,"The outage resurrected memories of other massive power blackouts , including one in 1977 that left about 9 million people without electricity for 25 hours .",neutral,neutral
"neutral to neutral: Associated Press Writer Curt Anderson at the Justice Department in Washington , D.C. , contributed to this story .","Associated Press Writer Jay Reeves in Birmingham , Ala . , contributed to this story .",neutral,neutral
"neutral to neutral: "" Everyone who has a cell phone wishes they had a better one , "" Huang said .","They have a cell phone and everybody that has a cell phone wishes they had a better one . """,neutral,neutral
"neutral to neutral: Taher , acting against his attorney 's advice , became the fifth member of a group of six Yemeni-Americans to enter a plea agreement with the government in the case .","Taher , acting against his attorney 's advice , became the fifth member of the six to enter a plea agreement with the government .",neutral,neutral
"neutral to neutral: After the further analysis of the subset data , the companies plan to discuss the results with regulators and then determine how to proceed .",The two companies plan further analysis of the subset data and will discuss the results with regulatory agencies .,neutral,neutral
"neutral to neutral: Turner , who held about 105 million shares before the sale , also transferred 10 million AOL shares to a charitable trust .",Mr. Turner transferred about 10 million shares to a charitable trust before they were sold .,neutral,neutral
"neutral to neutral: Beagle 2 has no propulsion system of its own ; it is "" in the hands of Mr Newton now "" , as an astronaut once put it .","It is "" in the hands of Mr Newton "" as a US space agency ( Nasa ) astronaut once put it .",neutral,neutral
"neutral to neutral: But the Russell 2000 index , the barometer of smaller company stocks , had a weekly gain of 3.71 , or 0.9 percent , closing at 418.40 .","But the Russell 2000 , the barometer of stocks of smaller companies , had a weekly gain of 3.71 , or 0.9 percent , closing at 418.40 .",neutral,neutral
"neutral to neutral: At 5 p.m. EDT , Grace 's center was near latitude 25.6 north , longitude 93.7 west or about 280 miles east-southeast of Corpus Christi .","At 11 a.m. EDT , Fabian 's center was near latitude 18.1 north and longitude 53.2 west , or about 550 miles east of the Leewards .",neutral,neutral
"neutral to neutral: But as more people were shot , Moose had to admit that he couldn 't give the public the safety it needed .","But as time passed and more people were shot , Moose had to admit that he couldn 't give the public what it needed most from the police - safety .",neutral,neutral
"neutral to neutral: The seal will ultimately be used to identify DHS badges , vehicles , signs , sea vessels and aircraft .","The seal will ultimately be used on department materials , signage , credentials , badges , vehicles , sea vessels and aircraft .",neutral,neutral
"neutral to neutral: The Dow Jones Industrial Average held on to small gains , up 19.96 to 9,092.91 , while the S & P 500 index shed 0.39 to 981.25 .","The Dow Jones industrial average was up 17 points to 9,090 , while the Nasdaq composite index fell 10 points to 1,601 .",neutral,neutral
"neutral to neutral: Lee told the newspaper that the girl had dragged the food , toys and other things into her mother 's bedroom , where he found her .","Lee , 33 , said the girl had dragged the food , toys and other things into her mother 's bedroom .",neutral,neutral
"neutral to neutral: "" With the target funds rate at 1 percent , substantial further conventional easings could be implemented if the FOMC judged such policy actions warranted , "" he said .","Furthermore , with the target fed funds rate at 1 percent , "" substantial further conventional easings could be implemented if the FOMC judged such policy actions warranted . """,neutral,neutral
neutral to neutral: Derek Jeter took batting practice on the field for the first time since dislocating his left shoulder on Opening Day and expects to begin a minor league rehab assignment tomorrow .,"Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .",neutral,neutral
"neutral to neutral: It was to fly a plane in the White House . """,""" It was to fly a plane into the White House , "" Mr. Karas said .",neutral,neutral
"neutral to neutral: Rambus Inc . ( nasdaq : RMBS - news - people ) shot up 38 percent , making it the biggest percentage gainer on the Nasdaq .","Rambus Inc. shot up almost 33 percent , making it the biggest percentage gainer on the Nasdaq .",neutral,neutral
neutral to neutral: Pines said he would convene the relevant party bodies within 10 days to discuss whether new elections would be held or whether a temporary leader would be appointed .,Mitzna and party secretary Ophir Pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed .,neutral,neutral
"neutral to neutral: At the very long end , the 30-year bond US30YT = RR slid a full point for a yield of 4.47 percent from 4.41 percent .","At the very long end , the 30-year bond US30YT = RR lost 2 / 32 for a yield of 4.41 percent .",neutral,neutral
"neutral to neutral: The Institute for Supply Management said its manufacturing index was 49.4 percent last month , up from 45.4 in April .","The Institute for Supply Management 's manufacturing index rose to 49.4 in May from 45.4 in April , the biggest monthly gain since December .",neutral,neutral
"neutral to neutral: In December 1998 , a 33-year-old woman died when she was hit by a metal cleat that came loose from the Columbia sailing ship .","In 1998 , a 33-year-old man died after he was struck by a metal cleat at the Columbia ship attraction .",neutral,neutral
"neutral to neutral: Last year , he was forced to repay $ 3,000 in bar tabs that he and his staff incurred while he was labour minister but had originally billed to taxpayers .","Last year , Stockwell was forced to repay $ 3,000 in bar tabs that he and his staff rang up while he was labour minister .",neutral,neutral
"neutral to neutral: He added , "" I am not giving any consideration to resignation . ""","I am not giving any consideration to resignation , "" Shumaker said in a statement .",neutral,neutral
"neutral to neutral: The Dow Jones industrials climbed more than 140 points to above the 9,000 mark , the first time since December .","The Dow Jones industrials briefly surpassed the 9,000 mark for the first time since December . """,neutral,neutral
neutral to neutral: Emergency crews said some of the passengers were thrown partly out of the open side of the bus .,"Emergency crews said no passenger was ejected , but some were thrown partly out of the open side of the bus .",neutral,neutral
"neutral to neutral: The Nasdaq composite index fell 2.95 , or 0.2 percent , for the week to 1,912.36 after stumbling 37.78 yesterday .",The Nasdaq eased 0.15 percent for the week after two consecutive up weeks .,neutral,neutral
"neutral to neutral: The House version pays 80 percent of a senior 's first $ 2,000 in drug costs after a $ 250 deductible .","Under the House-passed plan , seniors would pay 20 percent of drug costs , plus a $ 250 deductible annually .",neutral,neutral
"neutral to neutral: The company said that with proper funding , ABthrax could be available for emergency use as early as the end of 2004 .",Human Genome said ABthrax could be available for emergency use as early as the end of 2004 .,neutral,neutral
neutral to neutral: His birth on 4 May is revealed today in the journal Science .,The scientists ' research is being published today in the journal Science ( www.sciencemag.org ) .,neutral,neutral
"neutral to neutral: Shares of LendingTree soared $ 5.99 , or 40.1 percent , to $ 20.68 in afternoon trading on the Nasdaq Stock Market .","Shares of LendingTree rose $ 6.21 , or 42 percent , to $ 20.90 after hitting $ 21.36 earlier .",neutral,neutral
"neutral to neutral: "" It was brazen intimidation to keep people on the reservation , "" said a Republican who attended but did not want to be named .",""" It was a brazen attempt at intimidation , "" said a Republican legislator who attended the meeting .",neutral,neutral
neutral to neutral: He also noted Tom Siebel had turned in 26 million stock options valued at more than $ 50-million ( U.S. ) earlier this year .,He also said that Tom Siebel had turned in 26 million stock options with a value of $ 54 million to $ 56 million earlier this year .,neutral,neutral
neutral to neutral: The euro < EUR = > was up 0.67 percent against the dollar at $ 1.1784 after rising to a three-month high earlier in the session above $ 1.18 .,"In early U.S. trading , the euro < EUR = > was down 0.6 percent to $ 1.1741 , after rising to a four-month high of $ 1.1860 .",neutral,neutral
"neutral to neutral: "" Dan brings to Coca-Cola enormous experience in managing some of the world 's largest and most familiar brands , "" Mr. Heyer said .","In a statement , Heyer said , "" Dan brings to Coca-Cola enormous experience in managing some of the world 's largest and most familiar brands .",neutral,neutral
"neutral to neutral: The new WPAN standard uses the 2.4-GHz unlicensed frequency band and specifies raw data rates of 11M , 22M , 33M , 44M and 55Mbit / sec .","The new WPAN standard uses the 2.4 GHz unlicensed frequency band and specifies raw data rates of 11 , 22 , 33 , 44 and 55Mbit / s .",neutral,neutral
"neutral to neutral: "" This is extraordinarily fast , "" said Matt Geller , an analyst at CIBC World Markets .","They are actually going to record sales for Velcade this year , "" said Matt Geller , an analyst at CIBC World Markets .",neutral,neutral
"neutral to neutral: We need to challenge old habits and seriously rethink business-as-usual , "" he wrote .",""" We need to change old habits and seriously rethink business-as-usual . """,neutral,neutral
neutral to neutral: The plea makes Grass the second high-ranking Rite Aid executive to strike a deal with federal prosecutors in the past two weeks .,Grass is the second of the Rite Aid defendants to strike a deal with federal prosecutors this month .,neutral,neutral
neutral to neutral: Class-action suits expand exponentially the number of plaintiffs and damages in a lawsuit by allowing initial plaintiffs to plea on behalf of a far larger group with common interest .,Class-action suits expand sharply the number of plaintiffs and damages in a suit by allowing initial plaintiffs to sue on behalf of a larger group with common interests .,neutral,neutral
neutral to neutral: Powers said almost all supercomputer users would rather pay companies like IBM to do all that than try to build their own .,"Powers said almost all supercomputer users would rather pay the $ 100,000 to $ 10 million for a supercomputer than try to build their own .",neutral,neutral
neutral to neutral: The judge 's decision ended an 18-month process that included a frenzy of last-minute negotiations between bidders and creditors during a standing-room only purchasing hearing in U.S. Bankruptcy Court .,Jones ' decision Friday ended an 18-month process that included a frenzy of last-minute negotiations between bidders and creditors .,neutral,neutral
"neutral to neutral: "" Let 's show we won 't let them off , "" said Marc Blondel , leader of the Force Ouvriere union .",""" The movement to defend pensions is gaining momentum , and we won 't give up , "" said Marc Blondel , leader of the Force Ouvriere union .",neutral,neutral
"neutral to neutral: An artist who painted a fake "" CAUTION Low Flying Planes "" sign on a building near ground zero said Tuesday that he did not mean to offend anyone .","An artist painted a sign reading ``CAUTION Low Flying Planes ' ' on a building near ground zero , angering neighbors and stirring complaints .",neutral,neutral
"neutral to neutral: Culturecom is confident it will make a significant impact on market share with this new development , "" Frank Cheung , chairman of Culturecom , said in a statement .","He added : "" Culturecom is confident it will make a significant impact on market share with this new development . """,neutral,neutral
neutral to neutral: Many compensation experts had predicted Carty would get a generous severance deal because his voluntary resignation helped keep the concessions deals in place .,"Many compensation experts had predicted that Carty would get a generous severance package because his voluntary resignation helped preserve the concessions , the Fort Worth Star-Telegram reported .",neutral,neutral
neutral to neutral: He faces 25 years in prison when he is sentenced in federal court July 7 .,He faces an additional 25 years in prison on the federal charges when he is sentenced July 7 .,neutral,neutral
"neutral to neutral: Also in Mosul , rebel gunmen on Friday assassinated a Sunni Muslim tribal leader who backed the coalition .","Near a mosque in the northern town of Mosul , rebel gunmen also assassinated a Sunni Muslim tribal leader who backed the coalition .",neutral,neutral
neutral to neutral: Mr. Manuel and his group entered the United States by walking across the bridge linking Matamoros and Brownsville .,"Manuel and his group entered the US the same way thousands of people do every day , by walking across the bridge between Matamoros and Brownsville .",neutral,neutral
"neutral to neutral: "" As expected , second-quarter sales were weak driven by the combination of declining retail inventories and market-share losses , "" said Robert A. Eckert , chief executive .",""" As expected , second-quarter sales were weak driven by the combination of declining retail inventories and market-share losses , "" Chief Executive Robert Eckert said in a statement .",neutral,neutral
"neutral to neutral: He added International Business Machines Corp. ' s ( IBM ) endorsement of Linux has "" added credibility and an illusion of support and accountability . ""","Complicating the situation , he continued , are companies , like IBM , whose support of Linux "" has added credibility and an illusion of support and accountability . """,neutral,neutral
"neutral to neutral: Davis , who appointed all of the PUC commissioners , called the proposed settlement ``too expensive for the ratepayers .",""" The proposed settlement is too expensive for the ratepayers , "" the governor said in a statement .",neutral,neutral
"neutral to neutral: Bush is spending the weekend at his Crawford ranch , where he will play host to Italian Prime Minister Silvio Berlusconi .",He is to play host to Italian Prime Minister Silvio Berlusconi on Sunday and Monday .,neutral,neutral
neutral to neutral: Rep. Dennis Kucinich of Ohio is expected to raise more than $ 1 million .,Ohio Rep. Dennis Kucinich passed $ 1 million last week and was still counting money .,neutral,neutral
"neutral to neutral: But a state judge has ruled that the so-called "" double jeopardy "" protections do not apply in the case .",A judge already has ruled that double-jeopardy protections don 't apply in the case .,neutral,neutral
neutral to neutral: Mr Berlusconi is accused of bribing judges to influence the sale of the state-controlled SME food company in 1985 .,"Mr Berlusconi is accused of bribing judges to influence a takeover battle in the 1980s involving SME , a state-owned food company .",neutral,neutral
"neutral to neutral: The stock closed Friday at $ 5.91 , down $ 1.24 , or 17 percent , on the Nasdaq Stock Market .","Shares of Brocade closed at $ 5.91 , down $ 1.24 , or 17.3 percent .",neutral,neutral
"neutral to neutral: Further out the curve , the benchmark 10-year note US10YT = RR shed 25 / 32 in price , taking its yield to 3.26 percent from 3.17 percent .","Early Wednesday , the benchmark 10-year US10YT = RR had lost 16 / 32 in price , driving its yield up to 3.33 percent from 3.26 percent late Tuesday .",neutral,neutral
"neutral to neutral: When Biggs 's body was found , authorities had no leads until four months later , when a tipster said Mallard talked about the incident at a party .","Authorities had no leads in Biggs ' death until four months later , when a tipster said Mallard talked about the incident at a party .",neutral,neutral
"neutral to neutral: He is accused of obstructing justice , witness tampering and destroying evidence .","Quattrone , 47 , is charged with obstruction of justice and witness tampering .",neutral,neutral
"neutral to neutral: But in the first 30 seconds after Young entered the ring , the family knew it was an uneven match , Meyers said .","But in the first 30 seconds of the bout , family members knew it was an uneven match , Jodie Meyers , Stacy Young 's sister , said .",neutral,neutral
"neutral to neutral: U.S. troops encountered no resistance during the five-hour sweep near Tikrit , Saddam Hussein 's hometown and the center of a region of Baath Party supporters .",Tikrit is Saddam Hussein 's hometown and the region around it is known as a hotbed of Baath Party supporters and former high-ranking Iraqi military officials .,neutral,neutral
neutral to neutral: The National Association of Purchasing Management-Chicago 's factory index increased to 58.9 from 55.9 in July .,"The National Association of Purchasing Management-Chicago 's monthly index rose to 58.9 from 55.9 in July , the highest in 15 months .",neutral,neutral
"neutral to neutral: Adrian Lamo , 22 , had told reporters he planned to surrender to the FBI in Sacramento Friday , but he then had second thoughts .","Lamo had told reporters he would surrender to the FBI on the federal courthouse steps in Sacramento on Friday , but he didn 't show up .",neutral,neutral
"neutral to neutral: The technology-laced Nasdaq Composite Index .IXIC climbed 40.09 points , or 2.46 percent , to 1,666.58 , based on the latest data , and marking its highest close since May 23 , 2002 .","The technology-laced Nasdaq Composite Index < .IXIC > was up 40.09 points , or 2.46 percent , at 1,666.58 , marking its highest close since May 23 , 2002 .",neutral,neutral
neutral to neutral: SEA 05D is the Naval Sea Systems Command ’ s technical authority for surface ship design and engineering .,The Future Concepts and Surface Ship Design Group is the Naval Sea Systems Command ’ s technical authority for all surface ship design and engineering .,neutral,neutral
neutral to neutral: But Mr Kenny said his advice to Mr Hicks - if they are ever allowed to meet or speak - may well be that he accept a deal .,"But Mr Kenny said his advice to David Hicks , should they be allowed to meet , might be that he accept a deal .",neutral,neutral
neutral to neutral: FBI spokesman Steve Lazarus did not immediately return a phone call for comment on Friday .,Adaptable and Carter 's Trading Co. did not immediately return calls seeking comment on Wednesday .,neutral,neutral
"neutral to neutral: Wyles previous feature credits include White Oleander , Enough and Donnie Darko .","Wyle 's feature credits also include "" White Oleander , "" "" Enough "" and "" Donnie Darko . """,neutral,neutral
neutral to neutral: White House officials say Iran has one last chance to comply with IAEA inspection demands .,"A White House spokesman added that Iran had "" one last chance "" to comply with its disarmament obligations .",neutral,neutral
"neutral to neutral: Parrado remained on a Coast Guard cutter Wednesday as immigration officials attempt to determine his status , the Coast Guard said .","Parrado remained on a Coast Guard cutter Wednesday as officials determined his status and immediate future , the Coast Guard said .",neutral,neutral
"neutral to neutral: A month ago , the Commerce Department said GDP grew at a 7.2 percent rate .","A month ago , the Commerce Department estimated that GDP had a grown at a 7.2 percent rate in the third quarter .",neutral,neutral
"neutral to neutral: Jakarta has boosted the number of troops and police in the resource-rich province in recent weeks from 38,000 to more than 45,000 .","While the shape of any military operation is unclear , Jakarta has boosted the number of troops and police in the resource-rich province to more than 45,000 from 38,000 .",neutral,neutral
"neutral to neutral: Five alternate jurors were also chosen , with a final one set to be selected Friday morning from the panel .","Five alternate jurors also were selected , with a sixth alternate to be picked on Friday .",neutral,neutral
