input_text,target_text
"fear to sadness: Victoria felt ""sick at heart"" to see her daughter leave England for Germany; ""It really makes me shudder"", she wrote to Princess Victoria in one of her frequent letters, ""when I look round to all your sweet, happy, unconscious sisters, and think I must give them up too – one by one.""","Victoria felt ""sick at heart"" to see her daughter leave England for Germany; ""It really makes me shudder"", she wrote to Princess Victoria in one of her frequent letters, ""when I look round to all your sweet, happy, unconscious sisters, and think I must give them up too – one by one."""
"disappointment to disapproval: However, there are no reliable, peer-reviewed studies available to assist in rational public debate on this critical issue, although there are untranslated Soviet studies from the 1980s.","However, there are no reliable, peer-reviewed studies available to assist in rational public debate on this critical issue, although there are untranslated Soviet studies from the 1980s."
admiration to approval: The advancements made a great contribution to the quality of life.,The improvements had a significant impact on the quality of life.
"disgust to disapproval: According to Human Rights Watch, the government's human rights record is considered among the worst in the world.","As per Human Rights Watch, the government's human rights record is considered to be among the worst globally."
"admiration to approval: With a ""grittier"" and ""rawer"" sound than most glam metal, it produced three top 10 hits, including the number one ""Sweet Child O' Mine"".","Its sound was more aggressive and unrefined than typical glam metal, leading to three top 10 hits, including the number one hit ""Sweet Child O' Mine""."
"admiration to approval: Even as the Western Roman empire collapsed, literate men acknowledged that Virgil was a master poet.","Even as the Western Roman empire collapsed, literate men acknowledged that Virgil was a master poet."
"sadness to disappointment: Even with the five largest cities in Sichuan suffering only minor damage from the quake, some estimates of the economic loss run higher than US$75 billion, making the earthquake one of the costliest natural disasters in Chinese history.","Despite the fact that the quake caused only minor damage to the five largest cities in Sichuan, some estimates indicate that the economic loss could exceed US$75 billion, making it one of the most costly natural disasters in Chinese history."
"admiration to disappointment: However, the club was promoted at the first attempt scoring a record number of goals in the second division.","However, the club was promoted at the first attempt scoring a record number of goals in the second division."
"excitement to joy: The relay is a left-over from Yugoslav times, when young people made a similar yearly trek on foot through Yugoslavia that ended in Belgrade with a massive celebration.","The relay is a left-over from Yugoslav times, when young people made a similar yearly trek on foot through Yugoslavia that ended in Belgrade with a massive celebration."
"admiration to approval: These countries score high on the Ease of Doing Business Index, due to good and often simple regulations, and have rule of law firmly established.","These countries score high on the Ease of Doing Business Index, due to good and often simple regulations, and have rule of law firmly established."
"realization to disappointment: Farming had been a traditional occupation for centuries, although it became less dominant in the 20th century with the advent of tourism.","Throughout history, farming had been a customary trade, but it lost its dominance in the 20th century with the arrival of tourism."
"annoyance to disapproval: I don't like that for anything that disagrees with an experiment, they cook up an explanation—a fix-up to say, 'Well, it still might be true.'""","I don't like that for anything that disagrees with an experiment, they cook up an explanation—a fix-up to say, 'Well, it still might be true.'"""
"admiration to approval: Feynman had a great deal of success teaching Carl, using, for example, discussions about ants and Martians as a device for gaining perspective on problems and issues.","Discussions about ants and Martians were a key component of Feynman's teaching approach, which proved to be very effective in helping Carl gain perspective on various problems and issues."
"joy to admiration: Feynman gained great pleasure from coming up with such a ""freshman-level"" explanation, for example, of the connection between spin and statistics.","Feynman gained great pleasure from coming up with such a ""freshman-level"" explanation, for example, of the connection between spin and statistics."
"admiration to approval: Even though the books were not adopted by most universities as textbooks, they continue to sell well because they provide a deep understanding of physics.","Despite not being adopted as textbooks by most universities, the books are still successful because they provide a thorough understanding of physics."
"confusion to realization: It wasn't until the boy ""started looking like me, that's when I kind of got it.","It wasn't until the boy ""started looking like me, that's when I kind of got it."
"realization to sadness: In 1977, the team found some life, but ultimately experienced one of its biggest collapses.","In 1977, the team found some life, but ultimately experienced one of its biggest collapses."
sadness to disappointment: The Grand Mosque in Medina was severely damaged and widespread pillaging caused deep-seated dissent.,"The Medina Grand Mosque was severely affected, and widespread pillage led to deep-seated dissent."
admiration to approval: Football is also popular in Armenia.,Football is also popular in Armenia.
admiration to approval: They won the gold medal for football in the 1996 Summer Olympics (in which they beat Argentina) becoming the first African football team to win gold in Olympic Football.,They won the gold medal for football in the 1996 Summer Olympics (in which they beat Argentina) becoming the first African football team to win gold in Olympic Football.
admiration to approval: Football is the most popular sport in Portugal.,Football is the most popular sport in Portugal.
"admiration to approval: For centuries, Paris has attracted artists from around the world, who arrive in the city to educate themselves and to seek inspiration from its vast pool of artistic resources and galleries.","For centuries, Paris has attracted artists from around the world, who arrive in the city to educate themselves and to seek inspiration from its vast pool of artistic resources and galleries."
"sadness to disappointment: For many native populations, the elimination of French power in North America meant the disappearance of a strong ally and counterweight to British expansion, leading to their ultimate dispossession.","The eradication of French power in North America meant the loss of a strong supporter and opposition to British expansion for numerous native populations, leading to their eventual dispossession."
disappointment to embarrassment: The embarrassing string of defeats increased Russian popular dissatisfaction with the inefficient and corrupt Tsarist government.,The embarrassing string of defeats increased Russian popular dissatisfaction with the inefficient and corrupt Tsarist government.
"approval to fear: The raid against Coventry was particularly devastating, and led to widespread use of the phrase ""to conventrate"".","The raid against Coventry was particularly devastating, and led to widespread use of the phrase ""to conventrate""."
caring to disapproval: Former filled oxbows are also polluted.,Former filled oxbows are also polluted.
"admiration to approval: In the 20th century, Richmonders' love of theater continued with many amateur troupes and regular touring professional productions.","In the 20th century, Richmonders' love of theater continued with many amateur troupes and regular touring professional productions."
"approval to realization: With the education reforms of the 19th century, the middle classes began to speak and write French well.","With the education reforms of the 19th century, the middle classes began to speak and write French well."
admiration to realization: It quickly became apparent that he was a child prodigy.,It quickly became apparent that he was a child prodigy.
"admiration to disappointment: While the Fulton Mall corridor has suffered a sharp decline from its heyday, the Mall includes some of the finest public art pieces in the country, including the only Pierre-Auguste Renoir piece in the world that one can walk up to and touch.","While the Fulton Mall corridor has suffered a sharp decline from its heyday, the Mall includes some of the finest public art pieces in the country, including the only Pierre-Auguste Renoir piece in the world that one can walk up to and touch."
optimism to approval: Moisture content electronic monitoring can also enhance next generation wood protection.,Moisture content electronic monitoring can also enhance next generation wood protection.
"confusion to curiosity: Is it enough to say that we did not really mean what we meant?""",Can we argue that our words were taken out of context and did not accurately represent our true intentions?
admiration to approval: His opposition to Western governments earned him the respect of many in the Euro-American far right.,He gained the respect of many in the Euro-American far right for his opposition to Western governments.
"approval to realization: In 2007, 5.7 million tourists visited Galicia, an 8% growth over the previous year, and part of a continual pattern of growth in this sector.","In 2007, 5.7 million tourists visited Galicia, an 8% growth over the previous year, and part of a continual pattern of growth in this sector."
"realization to sadness: He realized that he had taken this kind of practice to its limit, and had not put an end to suffering.",He understood that he had exhausted this practice's capabilities and had not brought an end to suffering.
annoyance to disappointment: This pollution caused a range of harmful effects to wildlife and people who eat fish from the river or drink the water.,The pollution caused a variety of negative outcomes for both the wildlife and individuals who rely on the river for fish or drinking water.
admiration to approval: Germany's strong ties with Israel include cooperation on scientific and educational endeavors and the two states remain strong economic and military partners.,Germany's strong ties with Israel include cooperation on scientific and educational endeavors and the two states remain strong economic and military partners.
"gratitude to approval: The tactic proved successful: Within two years political reform could no longer be sidetracked by Party ""conservatives.""","The tactic proved successful: Within two years political reform could no longer be sidetracked by Party ""conservatives."""
"sadness to disappointment: The Cappadocian dialect came to Greece due to the genocide as well, but is endangered and is barely spoken now.","The Cappadocian dialect, which was introduced to Greece by the genocide, is endangered and scarcely spoken nowadays."
"gratitude to admiration: and his enthusiastic singing of ""Take me out to the ballgame"" during the 7th inning stretch (as he had done with the White Sox) made Caray a fan favorite both locally and nationally.","and his enthusiastic singing of ""Take me out to the ballgame"" during the 7th inning stretch (as he had done with the White Sox) made Caray a fan favorite both locally and nationally."
sadness to disappointment: It suffered about 30% loss in 2008-09.,It suffered about 30% loss in 2008-09.
admiration to approval: The book is widely popular among those advocating individualism and classical liberalism.,The book is widely popular among those advocating individualism and classical liberalism.
"admiration to love: He was known affectionately as ""Good Pope John"".","""Good Pope John"" was the loving title he was given."
"gratitude to admiration: It was acclaimed by critics, with Keith Caulfield from Billboard commenting that the album was a ""welcome return to form for the Queen of Pop.""","Keith Caulfield from Billboard praised the album, stating that it marked a ""welcome return to form for the Queen of Pop"" and was acclaimed by critics."
"optimism to approval: The election of Pacelli to the papacy in 1939, anticipated by everybody and openly promoted by Pope Pius XI in his last years, was a good omen for Montini, whose position was confirmed in the position under the new Cardinal Secretary of State Luigi Maglione.","The election of Pacelli to the papacy in 1939, anticipated by everybody and openly promoted by Pope Pius XI in his last years, was a good omen for Montini, whose position was confirmed in the position under the new Cardinal Secretary of State Luigi Maglione."
admiration to approval: Historians agree that Napoleon's remarkable personality was one key to his influence.,Historians agree that Napoleon's remarkable personality was one key to his influence.
"disappointment to disapproval: That was a period of social and religious turmoil, as there was significant discontent with the sacrifices and rituals of Vedic Brahmanism.",There was a time of social and religious unrest when the Vedic Brahmanism's rituals and sacrifices were widely criticized and disliked.
surprise to sadness: Hong Taiji died suddenly in September 1643 without a designated heir.,Hong Taiji died suddenly in September 1643 without a designated heir.
"sadness to disappointment: Today the hospital is very deteriorated, with broken walls and floors, lack of medicines, beds, and rooms for the personnel.","Today, the hospital is in a state of deterioration, with broken walls and floors, a shortage of medicines, beds, and rooms for staff."
admiration to approval: The music appealed to those who didn't fit into mainstream American society and was especially celebrated by many black males.,The music appealed to those who didn't fit into mainstream American society and was especially celebrated by many black males.
"confusion to disappointment: However questions still remain, as some of the corrupt government officials have still not been brought to justice, while the many families who lost their only child, are still seeking compensation and justice to what had happened.","However questions still remain, as some of the corrupt government officials have still not been brought to justice, while the many families who lost their only child, are still seeking compensation and justice to what had happened."
"sadness to disappointment: For example, in the East Asian–Australasian Flyway, up to 65% of key intertidal habitat at the Yellow Sea migration bottleneck has been destroyed since the 1950s.",The destruction of up to 65% of the vital intertidal habitat at the Yellow Sea migration bottleneck in the East Asian-Australasian Flyway has occurred since the 1950s.
approval to realization: This executive order realized the government's intent to create equal opportunities for all qualified people.,This executive order realized the government's intent to create equal opportunities for all qualified people.
"approval to realization: While the details of his work are in scientific disrepute, the concept of catastrophic change (extinction event and punctuated equilibrium) has gained acceptance in recent decades.","While the details of his work are in scientific disrepute, the concept of catastrophic change (extinction event and punctuated equilibrium) has gained acceptance in recent decades."
"admiration to confusion: The fate of the ""Lost Colony"" of Roanoke Island remains one of the most widely debated mysteries of American history.","The fate of the ""Lost Colony"" of Roanoke Island remains one of the most widely debated mysteries of American history."
"sadness to disappointment: None succeeded and the main effort by Braddock was a disaster; he was defeated in the Battle of the Monongahela on July 9, 1755 and died a few days later.","None succeeded and the main effort by Braddock was a disaster; he was defeated in the Battle of the Monongahela on July 9, 1755 and died a few days later."
"annoyance to disappointment: It had been imposed by a foreign invading army and destroyed centuries of tradition, making Switzerland nothing more than a French satellite state.","The imposition of a foreign invading army had destroyed centuries of tradition, leaving Switzerland as nothing more than a French satellite state."
"sadness to disappointment: In the ensuing Battle of San Pasqual, fought in the San Pasqual Valley which is now part of the city of San Diego, the Americans suffered their worst losses in the campaign.","In the ensuing Battle of San Pasqual, fought in the San Pasqual Valley which is now part of the city of San Diego, the Americans suffered their worst losses in the campaign."
"fear to sadness: In late November 1871, at the height of the republican movement, the Prince of Wales contracted typhoid fever, the disease that was believed to have killed his father, and Victoria was fearful her son would die.","The Prince of Wales fell ill with typhoid fever in late November 1871, during the height of the republican movement, the disease that was believed to have taken his father's life, causing Victoria to be concerned about her son's survival."
"optimism to admiration: However, many of its graduates at this time would go on to great success and become well renowned in their fields.","However, many of its graduates at this time would go on to great success and become well renowned in their fields."
"gratitude to realization: In recent years the rivalry has become less political, as Espanyol translated its official name and anthem from Spanish to Catalan.","In recent years the rivalry has become less political, as Espanyol translated its official name and anthem from Spanish to Catalan."
"approval to realization: However, in recent years the city has experienced significant gentrification, in which affluent whites have moved into formerly non-white areas.","However, in recent years the city has experienced significant gentrification, in which affluent whites have moved into formerly non-white areas."
joy to approval: I made it and got my merit badge.,I accomplished the necessary tasks and received my merit badge.
"admiration to surprise: It was the bravest thing I'd ever done.""",I had never been as brave as I was in that moment.
sadness to disappointment: The mission failed; 400 Libyans were killed and they were forced to retreat.,"The undertaking was unsuccessful, resulting in the death of 400 Libyans and a pullback."
admiration to approval: In 1983 the historic old town in the centre of Bern became a UNESCO World Heritage Site.,In 1983 the historic old town in the centre of Bern became a UNESCO World Heritage Site.
"admiration to love: She noted that her favorite style was baroque, and loved Mozart and Chopin because she liked their ""feminine quality"".","She noted that her favorite style was baroque, and loved Mozart and Chopin because she liked their ""feminine quality""."
"surprise to disappointment: However, much to the surprise of many, Spielberg did not get a Best Director nomination.","However, much to the surprise of many, Spielberg did not get a Best Director nomination."
"admiration to approval: The album won over many critics in the need to define AC, and appeared to change the tolerance and acceptance of AC music into mainstream day to day radio play.","The album won over many critics in the need to define AC, and appeared to change the tolerance and acceptance of AC music into mainstream day to day radio play."
disappointment to disapproval: It was poorly received by critics.,The critics were not impressed with it.
"sadness to annoyance: The American Association of University Professors has claimed that ""infringements on academic freedom are distressingly common and that the climate for academic freedom is distressingly poor.""",The American Association of University Professors has declared that academic freedom violations are disturbingly common and that the academic freedom environment is disturbingly inadequate.
"sadness to disappointment: But the plant closed in 2005 after a failed attempt to convert it to produce tuna steaks, a process that requires half as many employees.","But the plant closed in 2005 after a failed attempt to convert it to produce tuna steaks, a process that requires half as many employees."
"admiration to approval: By 2004, it had become the most-watched show in the U.S., a position it then held on for seven consecutive seasons.","By 2004, it had become the most-watched show in the U.S., a position it then held on for seven consecutive seasons."
"disappointment to disapproval: Because of these objections, support for this measure was lukewarm among moderate Taiwan independence supporters, and the proposal did not pass.","Because of these objections, support for this measure was lukewarm among moderate Taiwan independence supporters, and the proposal did not pass."
realization to disappointment: Life expectancy had fallen from 61 years in 2000 to 32 years in 2009.,Life expectancy had fallen from 61 years in 2000 to 32 years in 2009.
admiration to approval: This program has generated significant interest of the mainstream media.,This program has sparked significant interest from the mainstream media.
admiration to approval: It was also ranked as one of the most liveable cities in Central Europe.,"Among the most liveable cities in Central Europe, it was also ranked."
"excitement to admiration: It became the then most-watched Super Bowl halftime show in history with 114 million viewers, higher than the game itself.","It became the then most-watched Super Bowl halftime show in history with 114 million viewers, higher than the game itself."
excitement to admiration: The sales of the record beat the largest sales in one week on vinyl since 1991.,The record's sales topped the greatest vinyl sales in a week since 1991.
"anger to sadness: The government violently suppressed the protests, killing 100 children and teenagers.",100 minors lost their lives as a result of the government's violent crackdown on the protests.
"disappointment to disapproval: After the tests were scored, no black firefighters scored high enough to qualify for consideration for promotion, so the city announced that no one would be promoted.","None of the black firefighters scored high enough in the tests to be considered for promotion, resulting in the city's decision to not promote anyone."
"realization to disappointment: In 2014, that conviction was overturned on a technicality.","In 2014, that conviction was overturned on a technicality."
"joy to admiration: It was exhilarating and intimidating at the same time..... And I am prouder of Evita than anything else I have done.""","The feeling was both exhilarating and intimidating, and Evita is my greatest achievement."
"fear to nervousness: I had to lie on the couch every ten minutes so I could recover from dizzy spells, I was worried that I was shaking the baby around too much and that would injure it in some way.""","I had to lie on the couch every ten minutes so I could recover from dizzy spells, I was worried that I was shaking the baby around too much and that would injure it in some way."""
"realization to disappointment: These men came to London to become authors, only to discover that the literary market simply could not support large numbers of writers, who, in any case, were very poorly remunerated by the publishing-bookselling guilds.","These men came to London to become authors, only to discover that the literary market simply could not support large numbers of writers, who, in any case, were very poorly remunerated by the publishing-bookselling guilds."
confusion to disapproval: There is not any satisfactory theory on their origin.,There is not any satisfactory theory on their origin.
optimism to approval: This will enhance the education system of madaris in India.,This will enhance the education system of madaris in India.
"admiration to approval: John Chardin, a French traveler of the 17th century who visited the Safavid Persia, spoke approvingly of the vast cotton farms of Persia.","John Chardin, a French traveler of the 17th century who visited the Safavid Persia, spoke approvingly of the vast cotton farms of Persia."
"admiration to approval: Madonna received positive feedback for the album, with Rolling Stone writing that it was ""as close to art as pop music gets"".","Madonna received positive feedback for the album, with Rolling Stone writing that it was ""as close to art as pop music gets""."
"remorse to disapproval: Comcast released a statement explaining: ""We have spoken with our customer and apologized for this completely unacceptable and inappropriate name change.","According to a statement from Comcast, they have spoken with their customer and apologized for the name change that was considered completely unacceptable and inappropriate."
sadness to disappointment: It was the most costly riot in the United States.,The most expensive riot ever to take place in the United States happened.
gratitude to admiration: She's someone who has made a difference...with this book.,She's someone who has made a difference...with this book.
"admiration to approval: The collaboration garnered a positive response from both fans and critics, resulting in speculation about future projects together.","The collaboration garnered a positive response from both fans and critics, resulting in speculation about future projects together."
"anger to sadness: Second, I hated to see our country be the first to use such a weapon.""","Also, it troubled me to see our country being the pioneer in utilizing such a destructive weapon."
"admiration to approval: This is the world's largest shark sanctuary, extending the worldwide ocean area in which sharks are protected from 2,700,000 to 4,600,000 square kilometres (1,042,000 to 1,776,000 sq mi).","The protected area for sharks has been extended from 2,700,000 to 4,600,000 square kilometres (1,042,000 to 1,776,000 sq mi) across the oceans, making it the largest shark sanctuary in the world."
"joy to admiration: It makes me feel we can look the East End in the face"".",It empowers me to stand up to the East End.
"sadness to disappointment: A total of 2,400 people were deported, and very few survived.","The survival rate was low among the 2,400 individuals who were deported."
"disappointment to disapproval: Critics and fans reacted negatively, who commented that ""she had gone too far"" and that her career was over.","The reaction from her critics and fans was unfavorable, with many commenting that she had gone too far and that her career was over."
admiration to approval: Time commented with approval on his singing ability and visual similarity to Mercury.,Time commented with approval on his singing ability and visual similarity to Mercury.
"sadness to disappointment: Other notable Western performers, including Sting, have previously cancelled performances in the country over human rights concerns.","Other notable Western performers, including Sting, have previously cancelled performances in the country over human rights concerns."
"approval to desire: These goals are designed to eliminate poverty, discrimination, abuse and preventable deaths, address environmental destruction, and usher in an era of development for all people, everywhere.","These goals are designed to eliminate poverty, discrimination, abuse and preventable deaths, address environmental destruction, and usher in an era of development for all people, everywhere."
"sadness to disappointment: In absolute terms, the planet has lost 52% of its biodiversity since 1970 according to a 2014 study by the World Wildlife Fund.",The World Wildlife Fund's 2014 study found that the planet has undergone a 52% decline in biodiversity in absolute terms since 1970.
approval to realization: It now seems that segmentation can appear and disappear much more easily in the course of evolution than was previously thought.,It now seems that segmentation can appear and disappear much more easily in the course of evolution than was previously thought.
admiration to approval: It is the first non-Pixar film to win the award since the category was first introduced.,The award has been won by a non-Pixar film for the first time since the category's introduction.
"admiration to approval: His works remain popular, and he has been the subject of numerous films and biographies of varying degrees of historical accuracy.","His creations are still favored, and he has been depicted in numerous films and biographies that vary in their historical accuracy."
"admiration to approval: In many parts of the world football evokes great passions and plays an important role in the life of individual fans, local communities, and even nations.","In various regions of the world, football generates immense fervor and has a significant influence on the lives of individual enthusiasts, local neighborhoods, and even entire nations."
confusion to disappointment: Operation Ichi-go created a great sense of social confusion in the areas of China that it affected.,The areas of China affected by Operation Ichi-go were left in a state of social chaos.
admiration to approval: In recent years light emitting diodes (LEDs) are becoming increasingly efficient leading to an extraordinary increase in the use of solid state lighting.,In recent years light emitting diodes (LEDs) are becoming increasingly efficient leading to an extraordinary increase in the use of solid state lighting.
"confusion to disappointment: The United States faced a new uncertainty beginning in September 1949, when it lost its monopoly on the atomic bomb.","The United States faced a new uncertainty beginning in September 1949, when it lost its monopoly on the atomic bomb."
gratitude to approval: The force of his personality neutralized material difficulties as his soldiers fought with the confidence that with Napoleon in charge they would surely win.,The force of his personality neutralized material difficulties as his soldiers fought with the confidence that with Napoleon in charge they would surely win.
"sadness to disappointment: The Bronx became identified with a high rate of poverty and unemployment, which was mainly a persistent problem in the South Bronx.","The Bronx became identified with a high rate of poverty and unemployment, which was mainly a persistent problem in the South Bronx."
admiration to approval: With a population of over 1.5 million this makes the region one of the United Kingdom's most populous metropolitan areas.,"The region is home to one of the United Kingdom's most populous metropolitan areas, with a population exceeding 1.5 million."
"admiration to disappointment: The loss ended a spectacular season for the Cubs, one that brought alive a slumbering franchise and made the Cubs relevant for a whole new generation of Cubs fans.","The loss ended a spectacular season for the Cubs, one that brought alive a slumbering franchise and made the Cubs relevant for a whole new generation of Cubs fans."
admiration to approval: Tradition was sacred to ancient cultures and was unchanging and the social order of ceremony and morals in a culture could be strictly enforced.,Tradition was sacred to ancient cultures and was unchanging and the social order of ceremony and morals in a culture could be strictly enforced.
"excitement to admiration: In the film's first seven days it grossed £41.7 million ($63.8 million), breaking the UK record for highest first-week opening, set by Harry Potter and the Prisoner of Azkaban's £23.88 million ($36.9 million) in 2004.","In the film's first seven days it grossed £41.7 million ($63.8 million), breaking the UK record for highest first-week opening, set by Harry Potter and the Prisoner of Azkaban's £23.88 million ($36.9 million) in 2004."
"admiration to approval: Initially receiving mixed reviews, according to critic Steve Erlewine it is now ""generally regarded as the Rolling Stones' finest album"".","Initially receiving mixed reviews, according to critic Steve Erlewine it is now ""generally regarded as the Rolling Stones' finest album""."
"gratitude to realization: In the early 21st century, the population of Paris began to increase slowly again, as more young people moved into the city.","In the early 21st century, the population of Paris began to increase slowly again, as more young people moved into the city."
"realization to disappointment: By the year 2000, national leagues were established in almost every country throughout the world, as well as local or regional leagues for lower level teams, thus the significance of friendlies has seriously declined since the 19th century.","The introduction of national leagues in almost every country throughout the world, as well as local or regional leagues for lower-level teams, has led to a significant decrease in the importance of friendly matches since the 1800s."
"approval to realization: In the early decades of the twentieth century when there was a growing nostalgia for its sense of order, the style was revived and adapted and in the United States came to be known as the Colonial Revival.","In the early decades of the twentieth century when there was a growing nostalgia for its sense of order, the style was revived and adapted and in the United States came to be known as the Colonial Revival."
realization to disappointment: In the final decades of this era many plebeians grew poorer.,In the final decades of this era many plebeians grew poorer.
sadness to disappointment: The result was the ultimate bankruptcy of countless farmers.,The result was the ultimate bankruptcy of countless farmers.
"sadness to disappointment: But with it came a sting -- for while this naturally involves the floor leadership, he was deserted by his [partisan] associates and his career as a national figure terminated ingloriously.""","Still, there was a downside - as it demanded the cooperation of his partisan associates, he was deserted and his national reputation terminated dishonorably."
"admiration to approval: In the next century which is the beginning of the Classical period, it was considered that beauty in visible things as in everything else, consisted of symmetry and proportions.","The Classical period, which commenced in the next century, held that symmetry and proportions were the fundamental constituents of beauty in visible objects and everything else."
admiration to approval: Both are popular with international residents of the city.,Both are popular with international residents of the city.
"sadness to disappointment: In the second decade of the 21st century the Portuguese economy suffered its most severe recession since the 1970s resulting in the country having to be bailed out by the European Commission, European Central Bank and International Monetary Fund.","In the second decade of the 21st century the Portuguese economy suffered its most severe recession since the 1970s resulting in the country having to be bailed out by the European Commission, European Central Bank and International Monetary Fund."
"fear to nervousness: As he moved south, he drove off or captured British traders, alarming both the British and the Iroquois.","As he progressed southward, he either drove away or apprehended British traders, causing worry for both the British and the Iroquois."
"fear to nervousness: So worried were the Government over the sudden campaign of leaflets and posters distributed by the Communist Party in Coventry and London, that the Police were sent in to seize their production facilities.","So worried were the Government over the sudden campaign of leaflets and posters distributed by the Communist Party in Coventry and London, that the Police were sent in to seize their production facilities."
"sadness to disappointment: During his reign his people endured the hardships of war, and imperial power was eroded.","During his reign his people endured the hardships of war, and imperial power was eroded."
sadness to disappointment: Over 100 mortgage lenders went bankrupt during 2007 and 2008.,Over 100 mortgage lenders went bankrupt during 2007 and 2008.
"admiration to surprise: The spirit it is impossible not to admire; but the old Parisian ferocity has broken out in a shocking manner"".","The spirit it is impossible not to admire; but the old Parisian ferocity has broken out in a shocking manner""."
"fear to nervousness: By 1213, though, John was increasingly worried about the threat of French invasion.",The French invasion threat was causing John to feel more and more uneasy by 1213.
caring to fear: He feared that his dependence on Chinese officials left him vulnerable to future revolts and defections to the Song.,He feared that his dependence on Chinese officials left him vulnerable to future revolts and defections to the Song.
"admiration to approval: The Power Macintosh line, the first to use the new chips, proved to be highly successful, with over a million PowerPC units sold in nine months.","The Power Macintosh line, the first to use the new chips, proved to be highly successful, with over a million PowerPC units sold in nine months."
"approval to caring: Don't worry if it's not true—so long as there's not too much of a fuss about it afterwards.""","Don't worry if it's not true—so long as there's not too much of a fuss about it afterwards."""
admiration to approval: The high annual incident solar irradiance at its geographic latitude creates ideal conditions for what is an internationally renowned solar research and development industry in the Negev Desert.,"The internationally renowned solar research and development industry in the Negev Desert is made possible by the high annual incident solar irradiance at its geographic latitude, which creates ideal conditions."
"admiration to approval: Many Israelis communicate reasonably well in English, as many television programs are broadcast in English with subtitles and the language is taught from the early grades in elementary school.","Many Israelis communicate reasonably well in English, as many television programs are broadcast in English with subtitles and the language is taught from the early grades in elementary school."
admiration to approval: Israel is a leading country in the development of solar energy.,Israel is a leading country in the development of solar energy.
admiration to approval: Pleasurable work conditions are ranked as being more preferable than a high salary and implacable work.,Pleasurable work conditions are ranked as being more preferable than a high salary and implacable work.
"admiration to approval: It is in the great churches and cathedrals and in a number of civic buildings that the Gothic style was expressed most powerfully, its characteristics lending themselves to appeals to the emotions, whether springing from faith or from civic pride.","It is in the great churches and cathedrals and in a number of civic buildings that the Gothic style was expressed most powerfully, its characteristics lending themselves to appeals to the emotions, whether springing from faith or from civic pride."
"sadness to disappointment: In many areas, the housing market also suffered, resulting in evictions, foreclosures and prolonged unemployment.","The real estate market in multiple areas also underwent a decline, leading to evictions, foreclosures, and extended unemployment."
"approval to desire: Its mission is to provide high quality education, training and research in the areas of science and technology to produce qualified professionals that can apply their knowledge and skills in the country's development.","The goal is to provide high-quality education, training, and research in science and technology to generate qualified professionals who can utilize their knowledge and skills to contribute to the country's growth."
"pride to admiration: Mayor W. Haydon Burns' Jacksonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.","The Jacksonville Story of Mayor W. Haydon Burns led to the creation of a new city hall, civic auditorium, public library, and other endeavors that produced a dynamic sense of civic pride."
"approval to caring: In consequence, he has the right to be looked after in the event of ill health; disability stemming from his work; widowhood; old age; enforced unemployment; or whenever through no fault of his own he is deprived of the means of livelihood.""","Hence, he is entitled to be looked after if he becomes ill, disabled due to work, widowed, elderly, involuntarily unemployed, or deprived of his livelihood through no fault of his own."
"joy to admiration: He enjoyed gambling, in particular at backgammon, and was an enthusiastic hunter, even by medieval standards.","His enjoyment of gambling, especially at backgammon, and his zeal for hunting were exceptional even by medieval measures."
"admiration to approval: Art in Kathmandu is vibrant, demonstrating a fusion of traditionalism and modern art, derived from a great number of national, Asian, and global influences.","The art community in Kathmandu is vibrant, displaying a mix of traditional and contemporary art, influenced by numerous national, Asian, and global factors."
admiration to approval: These tracks were well received in Chicago and played on Chicago radio and in clubs.,The tracks were positively received in Chicago and played on both radio and in clubs.
"admiration to approval: As of June 2014, 84 million Xbox 360 consoles have been sold worldwide, making it the sixth-highest-selling video game console in history, and the highest-selling console made by an American company.","As of June 2014, 84 million Xbox 360 consoles have been sold worldwide, making it the sixth-highest-selling video game console in history, and the highest-selling console made by an American company."
